机械师 / The Machinist,机械师,7.5,69731,布拉德·安德森,斯科特·考萨,克里斯蒂安·贝尔/詹妮弗·杰森·李/埃塔娜·桑切斯-吉永/约翰·沙拉恩/迈克尔·艾恩塞德/小拉瑞·吉拉德/雷格·E.凯蒂/安娜·玛西/马修·罗梅罗·摩尔/罗伯特·朗/科林·斯廷顿/克雷格·史蒂文森/弗兰·拉奥斯,剧情/悬疑/惊悚,西班牙/美国,2004-01-18(圣丹斯电影节)/2004-12-03(美国)/2004-12-17(西班牙),101分钟/94分钟(土耳其电视版)
呆呆计划,呆呆计划,3.3,1038,森岛,森岛/李洪,陈小春/邓家佳/汪东城/李凡秀/吴启华/张小觉/徐鸥仪/朴文熙/郭云飞/卢晋杰/单宝中/何军/朱丹青,剧情/喜剧/犯罪,中国大陆,2016-12-09(中国大陆),88分钟
冲天火,冲天火,3.6,8212,林岭东,林岭东,吴彦祖/张若昀/张静初/郭采洁/张孝全/樊光耀/黎耀祥/姜皓文/张兆辉/巴图,动作/悬疑,中国大陆,2016-11-25(中国大陆),100分钟
猫的报恩 / 猫の恩返し,猫的报恩,7.9,107172,森田宏幸,柊葵/吉田玲子,池胁千鹤/袴田吉彦/丹波哲郎/前田亚季/山田孝之/佐藤仁美/佐户井贤太/滨田岳/渡边哲/斋藤洋介/冈江久美子,喜剧/动画/奇幻/冒险,日本,2002-07-19(日本),75 分钟
告白,告白,8.6,322767,中岛哲也,中岛哲也/凑佳苗,松隆子/冈田将生/木村佳乃/西井幸人/桥本爱/芦田爱菜/三吉彩花/藤原薰/井之胁海/清水尚弥/高桥努/一井直树/能年玲奈/新井浩文/野本萤,剧情/惊悚,日本,2010-06-05(日本),106分钟
我不是潘金莲,我不是潘金莲,6.7,136987,冯小刚,刘震云,范冰冰/郭涛/大鹏/张嘉译/于和伟/张译/李宗翰/赵立新/田小洁/范伟/高明/刘桦/黄建新/李晨,剧情/喜剧,中国大陆,2016-11-18(中国大陆)/2016-09-08(多伦多电影节),140分钟
三少爷的剑,三少爷的剑,4.9,45067,尔冬升,古龙/徐克/尔冬升/秦天南,林更新/何润东/江一燕/蒋梦婕/鲍起静/顾曹斌,剧情/动作/武侠/古装,中国大陆,2016-12-02(中国大陆)/2016-10-21(罗马国际电影节),107分钟
我是杀人犯 / 내가 살인범이다,我是杀人犯,7.4,21004,郑秉吉,郑秉吉,郑在咏/朴施厚/曹恩智/赵达焕/闵智雅,动作/惊悚/犯罪,韩国,2012-11-08(韩国),119分钟
小姐 / 아가씨,小姐,7.9,96479,朴赞郁,郑瑞景/朴赞郁/莎拉·沃特丝,金敏喜/金泰梨/河正宇/赵震雄/金海淑/文素丽,剧情/悬疑/同性,韩国,2016-05-14(戛纳电影节)/2016-06-01(韩国),145分钟/168分钟(加长版)/139分钟(蓝光版)
海街日记 / 海街diary,海街日记,8.6,104020,是枝裕和,是枝裕和/吉田秋生,绫濑遥/长泽雅美/夏帆/广濑铃/大竹忍/堤真一/加濑亮/风吹淳/中川雅也/前田旺志郎/铃木亮平/坂口健太郎/树木希林,剧情/家庭,日本,2015-05-14(戛纳电影节)/2015-06-13(日本),128分钟
黑处有什么,黑处有什么,6.6,25129,王一淳,王一淳,苏晓彤/郭笑/陆琦蔚/刘丹/蒋雪鸣/周逵/吴珏瑾/仁龙/刘杰毅/贾致钢/李世儒/谷麒麟/栗梅/邓刚/王正平/九奇/刚子/韩雨烨/田锋/罗威/石英/鄢佳/马沉香/虞正男,剧情/悬疑/犯罪,中国大陆,2016-10-14(中国大陆)/2015-07-23(FIRST青年电影展),105分钟(公映版)/102分钟(导演版)/97分钟(电影节版)
箭士柳白猿,箭士柳白猿,7.2,31353,徐浩峰,徐浩峰,宋洋/于承惠/李呈媛/王燕妮/赵峥/李长麟/马君,剧情/武侠/古装,中国大陆,2016-03-11(中国大陆)/2012-11-11(金马影展),90分钟
杀人漫画 / 더 웹툰 : 예고살인,杀人漫画,7.1,31609,金容钧,Hoo-Kyoung Lee/Sang-hak Lee,严基俊/李诗英/金显祐/吴光禄,悬疑/惊悚/犯罪,韩国,2013-06-27(韩国),104分钟
釜山行 / 부산행,釜山行,8.2,330276,延尚昊,延尚昊,孔侑/郑有美/马东锡/金秀安/金义城/崔宇植/安昭熙/沈恩京/禹都临,动作/惊悚/灾难,韩国,2016-05-13(戛纳电影节)/2016-07-20(韩国),118分钟
惊天破,惊天破,3.9,15981,吴品儒,吴品儒/顾舒怡,谢霆锋/刘青云/佟丽娅/范晓萱/思漩/谭俊彦/高伟光/蔡瀚亿/高捷/邓萃雯,剧情/动作/悬疑/犯罪,中国大陆/香港,2016-10-20(香港/中国大陆)/2016-06-13(上海国际电影节),103分钟
